"CourseName","Department"
"ESL 019 - Intensive Reading and Speaking Fluency","English as Second Language"
"ESL 098 - Intermediate Grammar and Writing","English as Second Language"
"ESL 099 - Intermediate Reading, Writing, and Vocabulary","English as Second Language"
"ESL 100 - College Writing","English as Second Language"
"ESL 101 - Admissions Pathway Program Level I: Intermediate/Advanced Grammar and Writing","English as Second Language"
"ESL 102 - Admissions Pathway Program Level II: Advanced Grammar and Writing","English as Second Language"
"ESL 103 - Admissions Pathway Program Level I: Intermediate/ Advanced Reading, Writing, and Vocabulary","English as Second Language"
"ESL 104 - Admissions Pathway Program Level II: Advanced Reading, Writing, and Vocabulary","English as Second Language"
"ESL 115 - Applied Grammar and Editing in Professional Communication for Multilingual Students","English as Second Language"
"ESP 101 - Environmental Science and Sustainability","Environmental Science & Policy"
"ESP 102 - Fundamentals of Environmental Science Laboratory","Environmental Science & Policy"
"ESP 125 - Introduction to Environmental Ecology","Environmental Science & Policy"
"ESP 126 - Introduction to Environmental Ecology Laboratory","Environmental Science & Policy"
"ESP 150 - Environmental Science Field Immersion Session","Environmental Science & Policy"
"ESP 197 - Research Skills Lab","Environmental Science & Policy"
"ESP 199 - Topics in Environmental Science","Environmental Science & Policy"
"ESP 200 - Environmental Planning","Environmental Science & Policy"
"ESP 203 - Environmental Communication","Environmental Science & Policy"
"ESP 207 - Atmosphere: Science, Climate, and Change","Environmental Science & Policy"
"ESP 220 - Introduction to Environmental Policy","Environmental Science & Policy"
"ESP 250 - Soils and Land Use","Environmental Science & Policy"
"ESP 260 - Soil and Water Conservation Engineering","Environmental Science & Policy"
"ESP 280 - Research and Analytical Methods","Environmental Science & Policy"
"ESP 299 - Topics in Environmental Science","Environmental Science & Policy"
"ESP 303 - Wetlands Ecology","Environmental Science & Policy"
"ESP 304 - Wetlands Ecology Laboratory","Environmental Science & Policy"
"ESP 308 - Global Sustainability","Environmental Science & Policy"
"ESP 326 - Environmental Economics","Environmental Science & Policy"
"ESP 327 - Natural Resource Economics","Environmental Science & Policy"
"ESP 340 - Environmental Regulations","Environmental Science & Policy"
"ESP 341 - Freshwater Science","Environmental Science & Policy"
"ESP 350 - Environmental Entomology","Environmental Science & Policy"
"ESP 360 - Water Quality Assessment and Control","Environmental Science & Policy"
"ESP 375 - Environmental Risk Assessment and Management","Environmental Science & Policy"
"ESP 389 - Teaching Practicum","Environmental Science & Policy"
"ESP 399 - Topics in Environmental Science","Environmental Science & Policy"
"ESP 400 - Internship","Environmental Science & Policy"
"ESP 401 - Environmental Impact Assessment and Lab","Environmental Science & Policy"
"ESP 412 - Field Ecosystem Ecology","Environmental Science & Policy"
"ESP 413 - Forest Ecology","Environmental Science & Policy"
"ESP 417 - Site Planning and Assessment","Environmental Science & Policy"
"ESP 421 - Natural Resource Policy","Environmental Science & Policy"
"ESP 445 - Environmental Education and Interpretation","Environmental Science & Policy"
"ESP 450 - Research Practicum","Environmental Science & Policy"
"ESP 475 - Topics in Environmental Science","Environmental Science & Policy"
"ESP 480 - Environmental Science and Policy Capstone","Environmental Science & Policy"
"FYE 101 - Husky Participate and Connect Course","First Year Experience"
"FYE 188 - College & Career Success","First Year Experience"
"FRE 101 - Beginning French I","French"
"FRE 102 - Beginning French II","French"
"FRE 150 - Language Table","French"
"FRE 201 - Intermediate French I","French"
"FRE 202 - Intermediate French II","French"
"FRE 300 - Building Fluency in French","French"
"FRE 301 - Practical French I","French"
"FRE 302 - Practical French II","French"
"FRE 398 - Independent Study","French"
"FRE 416 - The Linguistic Structure of French","French"
"GDS 100 - Game Design I: Introduction","Game Design Studies"
"GDS 200 - Game Design II: Collaborative Concepts, Tools and Processes","Game Design Studies"
"GDS 300 - Game Design III: Practicum in Theory & Application","Game Design Studies"
"EGN 101 - Introduction to Engineering","General Engineering"
"EGN 160 - Introduction to Programming: Python","General Engineering"
"EGN 181 - Engineering Tools: Mathematica","General Engineering"
"EGN 182 - Engineering Tools: SolidWorks","General Engineering"
"EGN 186 - Engineering Tools: MATLAB","General Engineering"
"EGN 187 - Engineering Tools: Circuit Simulation","General Engineering"
"EGN 188 - Engineering Tools: Materials Processing","General Engineering"
"EGN 189 - Engineering Tools: Spreadsheet Programming","General Engineering"
"EGN 248 - Introduction to Differential Equations and Linear Algebra","General Engineering"
"EGN 304 - Engineering Economics","General Engineering"
"EGN 325 - Control Systems","General Engineering"
"EGN 329 - Electromechanical and Control Systems Laboratory","General Engineering"
"EGN 394 - Engineering Internship","General Engineering"
"EGN 401 - Senior Design Project I and the Engineering Profession","General Engineering"
"EGN 402 - Senior Design Project II","General Engineering"
"EGN 403 - Advanced Design Project","General Engineering"
"EGN 417 - Introduction to Robotics","General Engineering"
"EGN 421 - Plasma Engineering","General Engineering"
"EGN 446 - Micro Electromechanical Systems","General Engineering"
"EGN 482 - Engineering Problem Solving","General Engineering"
"EGN 497 - Independent Study","General Engineering"
"EGN 498 - Advanced Topics in Engineering","General Engineering"
"GEO 101 - Human Geography","Geography"
"GEO 102 - Physical Geography","Geography"
"GEO 103 - Human-Environmental Geography","Geography"
"GEO 104 - World-Regional Geography","Geography"
"GEO 105 - Society, Environment, and Change","Geography"
"GEO 107 - Maps and Math","Geography"
"GEO 108 - Introduction to ArcGIS","Geography"
"GEO 120 - Geography of Maine","Geography"
"GEO 170 - Global History: Mapping the World Across Cultures","Geography"
"GEO 204 - Coastal and Marine Geography","Geography"
"GEO 209 - Introduction to Land Use Planning","Geography"
"GEO 210 - Planning Maine Communities: Current Issues & Directions","Geography"
"GEO 270 - Mapping Environments and People: Data Visualization and Analysis","Geography"
"GEO 295 - Topics in Geography","Geography"
"GEO 303 - Economic Geography","Geography"
"GEO 304 - Arctic and North Atlantic Regions","Geography"
"GEO 305 - Remote Sensing","Geography"
"GEO 308 - GIS Applications I","Geography"
"GEO 370 - Maps, Territory, Power","Geography"
"GEO 395 - Topics in Geography","Geography"
"GEO 408 - GIS Applications II","Geography"
"GEO 438 - Independent Study in GIS","Geography"
"GEO 445 - Drone Mapping","Geography"
"GEO 448 - GIS Internship","Geography"
"GEO 458 - Research Applications in GIS","Geography"
"GEO 495 - Topics in Geography","Geography"
"GYA 300 - Archaeology Field School","Geography/Anthropology"
"GYA 350 - Internship in Applied Geography-Anthropology","Geography/Anthropology"
"GYA 400 - Independent Study in Anthropology or Geography","Geography/Anthropology"
"GEY 100 - Volcanoes, Earthquakes & Moving Plates","Geology"
"GEY 101 - Lab Experiences in Geology","Geology"
"GER 101 - Beginning German I","German"
"GER 102 - Beginning German II","German"
"GER 150 - Language Table","German"
"GER 201 - Intermediate German I","German"
"GER 202 - Intermediate German II","German"
"GER 300 - Building Fluency in German","German"
"GER 398 - Independent Study","German"
"GRN 300 - Aging and the Family","Gerontology"
"GRN 310 - Aging and the Search for Meaning","Gerontology"
"GRN 312 - The Spiritual Challenges and Opportunities of Aging","Gerontology"
"GRN 313 - Health in Later Years","Gerontology"
"GRN 315 - Rehabilitation Services for Older Adult","Gerontology"
"GRN 318 - Adult Development and Aging","Gerontology"
"GRN 390 - Evaluation and Assessment of Older Adults","Gerontology"
"HTY 101 - Origins of Mediterranean Civilizations to 750 CE","History"
"HTY 102 - World History 750 CE to Present","History"
"HTY 131 - United States History to 1877","History"
"HTY 132 - United States History Since 1877","History"
"HTY 141 - African American History to 1865","History"
"HTY 142 - African American History from 1865","History"
"HTY 143 - Native American History, 1450-2000","History"
"HTY 152 - The Islamic Near East","History"
"HTY 161 - Medieval Africa","History"
"HTY 162 - Modern Africa","History"
"HTY 171 - Traditional East Asia","History"
"HTY 172 - Modern East Asia","History"
"HTY 200 - Reference, Research, and Report Writing","History"
"HTY 300 - History Internship","History"
"HTY 323 - Sex and the World Wars","History"
"HTY 326 - History of the British Empire","History"
"HTY 330 - Germany: Bismarck To Hitler","History"
"HTY 334 - The Holocaust: Policy, Practice, Response","History"
"HTY 335 - Genocide in Our Time","History"
"HTY 340 - Race in American Schooling","History"
"HTY 345 - African Americans and American Justice","History"
"HTY 346 - The Civil Rights Movement","History"
"HTY 347 - Race and the Politics of Mass Incarceration","History"
"HTY 353 - Gender in Native North America, 1450-1850","History"
"HTY 356 - Civil War and Reconstruction","History"
"HTY 357 - The Gilded Age in America, 1869-1898","History"
"HTY 358 - Early Twentieth-Century United States, 1898-1938","History"
"HTY 360 - History of Maine","History"
"HTY 364 - History of Women in the United States","History"
"HTY 374 - Photographing American History","History"
"HTY 375 - History of American Popular Culture","History"
"HTY 377 - Chinese Thought: Confucianism, Daoism, and Zen Buddhism","History"
"HTY 380 - The 1960s","History"
"HTY 388 - Revolution of Modern China","History"
"HTY 390 - Traditional Japan: Court and Warriors","History"
"HTY 391 - Japan’s Rise and Fall as a World Power, 1868-1945","History"
"HTY 394 - Selected Topics in History","History"
"HTY 398 - Independent Study in History","History"
"HTY 400 - Senior Seminar","History"
"HIH 203 - Mind Body Stress Reduction","Holistic & Integrative Health"
"HIH 270 - Holistic Approaches to Reproductive Health","Holistic & Integrative Health"
"HIH 280 - Holistic Health I","Holistic & Integrative Health"
"HIH 281 - Holistic Health II","Holistic & Integrative Health"
"HIH 283 - Healing and Spirituality","Holistic & Integrative Health"
"HIH 284 - Botanical Therapies","Holistic & Integrative Health"
"HIH 288 - Reiki: Energy Medicine","Holistic & Integrative Health"
"HIH 300 - Sustainable Compassion Training","Holistic & Integrative Health"
"HRD 200 - Multicultural Human Development","Human Resource Development"
"HON 100 - Honors College Writing","Honors Program"
"HON 102 - Honors Cultural Interpretation","Honors Program"
"HON 103 - Honors Socio-Cultural Analysis","Honors Program"
"HON 105 - Interdisciplinary Introduction to Logic & Mathematics","Honors Program"
"HON 107 - Honors Creative Expression","Honors Program"
"HON 113 - Honors Principles of Chemistry I","Honors Program"
"HON 115 - Introduction to Honors","Honors Program"
"HON 195 - Honors in Iceland","Honors Program"
"HON 200 - Honors Science Exploration","Honors Program"
"HON 201 - Honors Science Exploration (Lab)","Honors Program"
"HON 202 - Honors Cultural Interpretation","Honors Program"
"HON 203 - Honors Socio-Cultural Analysis","Honors Program"
"HON 207 - Honors Creative Expression","Honors Program"
"HON 215 - Academic Writing: Thinking and Writing in Honors","Honors Program"
"HON 299 - Honors Topics","Honors Program"
"HON 310 - Honors Ethical Inquiry, Social Responsibility, and Citizenship","Honors Program"
"HON 311 - Honors Community-Based Learning","Honors Program"
"HON 315 - Advanced Writing in Honors","Honors Program"
"HON 321 - Honors Internship","Honors Program"
"HON 330 - Mental Health Nursing","Honors Program"
"HON 331 - Honors Directed Research","Honors Program"
"HON 362 - Understanding Regulation: Applying Scissors to Red Tape","Honors Program"
"HON 363 - Human Factors in Regulatory Compliance and Social Policy","Honors Program"
"HON 387 - Design Thinking","Honors Program"
"HON 410 - Honors Thesis Writing Workshop","Honors Program"
"HON 411 - Honors Thesis I","Honors Program"
"HON 412 - Honors Thesis II","Honors Program"
"HON 415 - Honors Capstone","Honors Program"
"IDE 361 - Work Design","Industrial Engineering"
"IDE 362 - Human Factors","Industrial Engineering"
"IDE 369 - Work Design and Human Factors Laboratory","Industrial Engineering"
"IDE 461 - Facility Design","Industrial Engineering"
"IDE 462 - Lean Six Sigma","Industrial Engineering"
"IDE 469 - Lean Facility Inventory Laboratory","Industrial Engineering"
"IDE 481 - Engineering Statistics","Industrial Engineering"
"ITP 210 - Technical Writing","Industrial Technology Professional"
"ITP 230 - Project Management","Industrial Technology Professional"
"ITP 250 - Management Information Systems","Industrial Technology Professional"
"ITP 280 - Managing Organizations in a Technological Environment","Industrial Technology Professional"
"ITP 310 - Facility Planning","Industrial Technology Professional"
"ITP 320 - Workplace Safety and Health Management Systems","Industrial Technology Professional"
"ITP 330 - Supply Chain Management","Industrial Technology Professional"
"ITP 340 - Quality Management","Industrial Technology Professional"
"ITP 350 - Leadership, Teambuilding, and Facilitation","Industrial Technology Professional"
"ITP 381 - Human Resource Development","Industrial Technology Professional"
"ITP 410 - Technical Operations and Strategies","Industrial Technology Professional"
"ITP 490 - Operations, Finance, and Management Control","Industrial Technology Professional"
"ITT 181 - Computing Technologies","Industrial Technology Technical"
"ITT 200 - Introduction to Cybersecurity","Industrial Technology Technical"
"ITT 231 - Technical Visualization","Industrial Technology Technical"
"ITT 241 - Technical Communications","Industrial Technology Technical"
"ITT 272 - Networking I","Industrial Technology Technical"
"ITT 281 - Internet Website Development","Industrial Technology Technical"
"ITT 343 - Graphic Communication Technologies","Industrial Technology Technical"
"ITT 362 - Operating Systems Security","Industrial Technology Technical"
"ITT 363 - Server Administration and Maintenance","Industrial Technology Technical"
"ITT 373 - Networking II","Industrial Technology Technical"
"ITT 376 - Network Defense","Industrial Technology Technical"
"ITT 382 - Advanced Web Site Development","Industrial Technology Technical"
"ITT 383 - Databases","Industrial Technology Technical"
"ITT 385 - Integrative Programming","Industrial Technology Technical"
"ITT 413 - Ethical Hacking","Industrial Technology Technical"
"ITT 440 - Internship","Industrial Technology Technical"
"ITT 451 - Cyber Laws, Policies, and Ethics","Industrial Technology Technical"
"ITT 460 - Capstone","Industrial Technology Technical"
"ITT 463 - Virtualization and Cloud Computing","Industrial Technology Technical"
"ITT 482 - Computer Systems Forensics","Industrial Technology Technical"
"ITT 486 - User Experience","Industrial Technology Technical"
"ITT 490 - Directed Study","Industrial Technology Technical"
"ITA 101 - Beginning Italian I","Italian"
"ITA 102 - Beginning Italian II","Italian"
"ITA 201 - Intermediate Italian I","Italian"
"ITA 202 - Intermediate Italian II","Italian"
"LAN 101 - Beginning Language I","Languages"
"LAN 102 - Beginning Language II","Languages"
"LAN 201 - Intermediate Language I","Languages"
"LAN 202 - Intermediate Language II","Languages"
"LAN 398 - Independent Study","Languages"
"LAT 101 - Beginning Latin I","Latin"
"LAT 102 - Beginning Latin II","Latin"
"LAT 201 - Intermediate Latin I","Latin"
"LAT 202 - Intermediate Latin II","Latin"
"LOS 112 - Microsoft Excel","Leadership & Organizational Studies"
"LOS 114 - PowerPoint","Leadership & Organizational Studies"
"LOS 120 - Statistics for Informed Decision Making","Leadership & Organizational Studies"
"LOS 210 - Creative Critical Inquiry","Leadership & Organizational Studies"
"LOS 270 - Introduction to Leadership","Leadership & Organizational Studies"
"LOS 299 - Writing in the Major","Leadership & Organizational Studies"
"LOS 300 - Organizational Theory","Leadership & Organizational Studies"
"LOS 301 - Group Dynamics","Leadership & Organizational Studies"
"LOS 302 - Organizational Behavior","Leadership & Organizational Studies"
"LOS 304 - Organizational Budgeting and Finance","Leadership & Organizational Studies"
"LOS 310 - Science, Technology, and Society","Leadership & Organizational Studies"
"LOS 312 - Human Resource Management","Leadership & Organizational Studies"
"LOS 314 - Employee Relations","Leadership & Organizational Studies"
"LOS 316 - Diversity in Organizations","Leadership & Organizational Studies"
"LOS 327 - Leading through Conflict","Leadership & Organizational Studies"
"LOS 329 - Research Methods","Leadership & Organizational Studies"
"LOS 330 - Cultural Contexts","Leadership & Organizational Studies"
"LOS 336 - Dealing with Difficult People and Behaviors","Leadership & Organizational Studies"
"LOS 340 - Presidential Civic Leadership Academy I","Leadership & Organizational Studies"
"LOS 341 - Presidential Civic Leadership Academy II","Leadership & Organizational Studies"
"LOS 345 - Leadership and Film","Leadership & Organizational Studies"
"LOS 350 - Leadership","Leadership & Organizational Studies"
"LOS 360 - Innovation in Organizations","Leadership & Organizational Studies"
"LOS 387 - Collegiate Leadership Competition","Leadership & Organizational Studies"
"LOS 398 - Independent Study","Leadership & Organizational Studies"
"LOS 399 - Special Topics","Leadership & Organizational Studies"
"LOS 400 - Senior Seminar: Global Citizenship","Leadership & Organizational Studies"
"LOS 422 - Leadership in the Public/Nonprofit Sectors","Leadership & Organizational Studies"
"LOS 439 - Women’s Ways of Leading: Building Partnerships, Creating Change","Leadership & Organizational Studies"
"LOS 440 - Leading Organizational Change","Leadership & Organizational Studies"
"LOS 450 - Applied Leadership Practicum","Leadership & Organizational Studies"
"LOS 470 - Leadership Study Abroad","Leadership & Organizational Studies"
"LSH 240 - Introducing the Humanities","Liberal Studies in Humanities"
"LSH 340 - Topics in the Humanities","Liberal Studies in Humanities"
"LSH 398 - Independent Study in the Humanities","Liberal Studies in Humanities"
"LSH 440 - Capstone in the Humanities","Liberal Studies in Humanities"
"LIN 105 - Contrastive Analysis: ASL and English","Linguistics"
"LIN 112 - The Birth of a Language","Linguistics"
"LIN 130 - Language Revitalization and Reclamation Methodologies","Linguistics"
"LIN 185 - Language, Mind, and Society: An Introduction to Linguistics","Linguistics"
"LIN 186 - Introduction to Linguistics: Lab","Linguistics"
"LIN 203 - Introduction to the Deaf World","Linguistics"
"LIN 211 - Anatomy and Physiology of the Speech and Hearing Mechanism","Linguistics"
"LIN 212 - Speech Science","Linguistics"
"LIN 213 - Introduction to Audiology","Linguistics"
"LIN 236 - Not Yet Ready for Prime Time Interpreter","Linguistics"
"LIN 309 - Language Acquisition","Linguistics"
"LIN 310 - Signs of Language in the Brain","Linguistics"
"LIN 311 - Phonetics","Linguistics"
"LIN 312 - Phonology and Morphology","Linguistics"
"LIN 313 - Syntax","Linguistics"
"LIN 316 - Crosslinguistic Variation","Linguistics"
"LIN 317 - Two Languages, One Mind: Introduction to Second Language Acquisition and Bilingualism","Linguistics"
"LIN 331 - ASL/English Interpreting","Linguistics"
"LIN 332 - Consecutive Interpreting and Deaf/Hearing Interpreter Teams","Linguistics"
"LIN 333 - Interpreting: Source Language ASL","Linguistics"
"LIN 334 - Interpreting: Source Language English","Linguistics"
"LIN 336 - Observational Internship","Linguistics"
"LIN 394 - Teaching Internship","Linguistics"
"LIN 395 - Research Internship","Linguistics"
"LIN 398 - Independent Study","Linguistics"
"LIN 401 - Foundations of Interpreting I","Linguistics"
"LIN 402 - Foundations of Interpreting II","Linguistics"
"LIN 403 - Foundations of Interpreting III","Linguistics"
"LIN 404 - Foundations of Interpreting IV","Linguistics"
"LIN 409 - Educational Interpreting","Linguistics"
"LIN 410 - Ethical Decision Making in ASL/English Interpreting","Linguistics"
"LIN 413 - Supervised Mentoring","Linguistics"
"LIN 423 - Seminar in Syntax","Linguistics"
"LIN 425 - Special Topics in ASL/English Interpreting","Linguistics"
"LIN 426 - Special Topics in Theoretical Linguistics","Linguistics"
"LIN 431 - Medical Interpreting I: The Essential Piece","Linguistics"
"LIN 432 - Medical Interpreting II: Interpreting Medical Terminology and Body Systems","Linguistics"
"LIN 434 - Pre-practicum","Linguistics"
"LIN 435 - Advanced Interpreting and Practicum I","Linguistics"
"LIN 436 - Practicum II","Linguistics"
"LIN 490 - Introduction to Language Research","Linguistics"
"LIN 498 - Thesis","Linguistics"
"MAT 100 - Mathematics Bridge","Mathematics"
"MAT 101 - Algebraic Bridge","Mathematics"
"MAT 105 - Mathematics for Quantitative Decision Making","Mathematics"
"MAT 108 - College Algebra","Mathematics"
"MAT 120 - Introduction to Statistics","Mathematics"
"MAT 131 - Number Systems for Elementary Teachers","Mathematics"
"MAT 132 - Quantitative Reasoning for Elementary School Teachers","Mathematics"
"MAT 140 - Pre-Calculus Mathematics","Mathematics"
"MAT 145 - Discrete Mathematics I","Mathematics"
"MAT 152 - Calculus A","Mathematics"
"MAT 153 - Calculus B","Mathematics"
"MAT 210 - Business Statistics","Mathematics"
"MAT 220 - Statistics for the Biological Sciences","Mathematics"
"MAT 231 - Algebra for Elementary Teachers","Mathematics"
"MAT 232 - Geometry for Elementary Teachers","Mathematics"
"MAT 242 - Applied Problem Solving","Mathematics"
"MAT 252 - Calculus C","Mathematics"
"MAT 264 - Statistical Software Packages","Mathematics"
"MAT 281 - Introduction to Probability","Mathematics"
"MAT 282 - Statistical Inference","Mathematics"
"MAT 290 - Foundations of Mathematics","Mathematics"
"MAT 295 - Linear Algebra","Mathematics"
"MAT 350 - Differential Equations","Mathematics"
"MAT 352 - Real Analysis","Mathematics"
"MAT 355 - Complex Analysis","Mathematics"
"MAT 364 - Numerical Analysis","Mathematics"
"MAT 366 - Deterministic Models in Operations Research","Mathematics"
"MAT 371 - College Geometry","Mathematics"
"MAT 380 - Probability and Statistics","Mathematics"
"MAT 383 - System Modeling and Simulation","Mathematics"
"MAT 387 - Introduction to Applied/Biostatistical Methods","Mathematics"
"MAT 392 - Theory of Numbers","Mathematics"
"MAT 395 - Abstract Algebra","Mathematics"
"MAT 460 - Mathematical Modeling","Mathematics"
"MAT 461 - Stochastic Models in Operations Research","Mathematics"
"MAT 470 - Non-Euclidean Geometry","Mathematics"
"MAT 484 - Design and Analysis of Experiments","Mathematics"
"MAT 485 - Introduction to Applied Regression","Mathematics"
"MAT 488 - Introduction to Data Mining","Mathematics"
"MAT 490 - Topology","Mathematics"
"MAT 492 - Graph Theory and Combinatorics","Mathematics"
"MAT 497 - Independent Study/Internship in Mathematics","Mathematics"
"MAT 498 - Topics","Mathematics"
"MME 400 - Elementary Mathematics Methods","Mathematics Education"
"MEE 150 - Applied Mechanics: Statics","Mechanical Engineering"
"MEE 230 - Thermodynamics I: Laws and Properties","Mechanical Engineering"
"MEE 251 - Strength of Materials","Mechanical Engineering"
"MEE 259 - Statics and Strength of Materials Laboratory","Mechanical Engineering"
"MEE 260 - Materials Science for Engineers","Mechanical Engineering"
"MEE 270 - Applied Mechanics: Dynamics","Mechanical Engineering"
"MEE 331 - Thermodynamics II: Flows and Cycles","Mechanical Engineering"
"MEE 332 - Fundamentals of Combustion Science","Mechanical Engineering"
"MEE 339 - Thermodynamics Laboratory","Mechanical Engineering"
"MEE 353 - Applied Stress Analysis","Mechanical Engineering"
"MEE 356 - Introduction to the Finite Element Method","Mechanical Engineering"
"MEE 360 - Fluid Mechanics","Mechanical Engineering"
"MEE 372 - Computer-Aided Design of Machine Elements","Mechanical Engineering"
"MEE 373 - Design of Machines and Mechanisms","Mechanical Engineering"
"MEE 374 - Theory and Applications of Vibrations","Mechanical Engineering"
"MEE 379 - Dynamics and Vibrations Laboratory","Mechanical Engineering"
"MEE 422 - Spacecraft Systems Engineering","Mechanical Engineering"
"MEE 432 - Heat Transfer","Mechanical Engineering"
"MEE 439 - Fluid Mechanics and Heat Transfer Laboratory","Mechanical Engineering"
"MEE 454 - Advanced Material Behavior, Testing and Processing","Mechanical Engineering"
"MEE 463 - Aerodynamics","Mechanical Engineering"
"MIS 201 - Leadership Laboratory I","Military Science"
"MIS 202 - Leadership Laboratory II","Military Science"
"MIS 213 - Introduction to ROTC I","Military Science"
"MIS 214 - Introduction to ROTC II","Military Science"
"MIS 225 - History of the Army","Military Science"
"MIS 301 - Self and Team Development I","Military Science"
"MIS 302 - Self and Team Development II","Military Science"
"MIS 401 - Leading Small Organizations I","Military Science"
"MIS 402 - Leading Small Organizations II","Military Science"
"MIS 411 - Leadership and Management I","Military Science"
"MIS 412 - Leadership and Management II","Military Science"
"MIS 495 - Officer Internship","Military Science"
"MUS 100 - Music Appreciation and History","Music"
"MUS 101 - USM Music Ensembles","Music"
"MUS 103 - Introduction to Jazz","Music"
"MUS 110 - Fundamentals of Music","Music"
"MUS 150 - Piano Class 1","Music"
"MUS 151 - Piano Class 2","Music"
"MUS 204 - Rock and Roll: Subversive or Submissive?","Music"
"MUS 205 - Creative Expression through Music Improvisation","Music"
"MUS 210 - Songwriting","Music"
"MUS 244 - Basic Conducting","Music"
"MUS 250 - Piano Class 3","Music"
"MUS 251 - Piano Class 4","Music"
"MUS 252 - Jazz Piano Class 1","Music"
"MUS 253 - Jazz Piano Class 2","Music"
"MUS 256 - Diction for Singers 1: Italian and French","Music"
"MUS 257 - Diction for Singers 2: French and German","Music"
"MUS 271 - Principles of Digital Audio and Music Production","Music"
"MUS 301 - You Can’t Sing That: Music Censorship","Music"
"MUS 310 - Organ Improvisation 1","Music"
"MUS 311 - Organ Improvisation 2","Music"
"MUS 321 - Literature of the Major Instrument","Music"
"MUS 322 - Piano Literature 2","Music"
"MUS 323 - Organ Literature 2","Music"
"MUS 337 - Jazz Arranging","Music"
"MUS 356 - Composers Workshop","Music"
"MUS 360 - Advanced Keyboard Skills 1","Music"
"MUS 361 - Advanced Keyboard Skills 2","Music"
"MUS 371 - Advanced Principles of Digital Audio and Music Production","Music"
"MUS 372 - Pedagogy of the Major Instrument","Music"
"MUS 373 - Piano Pedagogy 2","Music"
"MUS 374 - Jazz Pedagogy","Music"
"MUS 376 - Class Piano Teaching 1","Music"
"MUS 377 - Class Piano Teaching 2","Music"
"MUS 378 - Practicum in Piano Pedagogy 1","Music"
"MUS 379 - Practicum in Piano Pedagogy 2","Music"
"MUS 380 - Jazz Improvisation 1","Music"
"MUS 381 - Jazz Improvisation 2","Music"
"MUS 400 - Southern Maine Symphony Orchestra","Music"
"MUS 401 - University Chorale","Music"
"MUS 402 - University Concert Band","Music"
"MUS 403 - Composers Ensemble","Music"
"MUS 404 - Opera Workshop","Music"
"MUS 405 - Chamber Singers","Music"
"MUS 406 - Chamber Music","Music"
"MUS 407 - Jazz Ensemble","Music"
"MUS 408 - Osher Wind Ensemble","Music"
"MUS 409 - Vocal Jazz Ensemble","Music"
"MUS 410 - Jazz Combo","Music"
"MUS 412 - Music Theatre Workshop","Music"
"MUS 440 - Studio Class","Music"
"MUS 442 - Recital Class","Music"
"MUS 452 - Accompanying","Music"
"MUS 480 - Bibliography and Research in Music","Music"
"MUS 498 - Independent Study in Music","Music"
"MUE 111 - Cultural and Linguistic Diversity for Music Educators","Music Education"
"MUE 113 - Vocal Techniques for Instrumentalists","Music Education"
"MUE 114 - Guitar Techniques","Music Education"
"MUE 150 - ProSeminar II","Music Education"
"MUE 151 - Brass Techniques","Music Education"
"MUE 152 - Percussion Techniques","Music Education"
"MUE 210 - ProSeminar III","Music Education"
"MUE 211 - Teaching and Creative and Critical Listening PK-12","Music Education"
"MUE 250 - ProSeminar IV","Music Education"
"MUE 251 - Teaching Vocal Music PK-12","Music Education"
"MUE 252 - Choral Conducting","Music Education"
"MUE 310 - ProSeminar V","Music Education"
"MUE 312 - Teaching Instrumental Music PK-12","Music Education"
"MUE 313 - Instrumental Conducting","Music Education"
"MUE 315 - Woodwind Techniques","Music Education"
"MUE 350 - ProSeminar VI","Music Education"
"MUE 351 - Teaching Improvisation in Music PK-12","Music Education"
"MUE 352 - String Techniques","Music Education"
"MUE 355 - Teaching Music Composition PK-12","Music Education"
"MUE 412 - Woodwind Techniques","Music Education"
"MUE 450 - Professional Internship","Music Education"
"MUE 451 - Professional Portfolio","Music Education"
"MUE 452 - Research in Music Education","Music Education"
"MUH 105 - Multi-Cultural Perspectives of American Popular Music and Jazz","Music History"
"MUH 206 - Jazz History","Music History"
"MUH 222 - Music History Survey 1","Music History"
"MUH 223 - Music History Survey 2","Music History"
"MUH 320 - Seminar in Music History","Music History"
"MUH 325 - The History of Musical Theatre in America","Music History"
"MUH 329 - Devils, Dwarves and Dragons","Music History"
"MUP 101 - Applied Music","Music Performance"
"MUP 102 - Applied Music","Music Performance"
"MUP 201 - Applied Music","Music Performance"
"MUP 202 - Applied Music","Music Performance"
"MUP 203 - Applied Music","Music Performance"
"MUP 204 - Applied Music Jazz","Music Performance"
"MUP 205 - Applied Music Jazz","Music Performance"
"MUP 206 - Applied Classical Voice Coaching","Music Performance"
"MUP 207 - Applied Classical Voice Coaching","Music Performance"
"MUP 208 - Applied Musical Theatre Voice Coaching","Music Performance"
"MUP 209 - Applied Musical Theatre Voice Coaching","Music Performance"
"MUP 390 - Recital","Music Performance"
"MUP 490 - Senior Recital / Seminar","Music Performance"
"MUP 491 - Recital","Music Performance"
"MUT 110 - Music Theory 1","Music Theory"
"MUT 111 - Sight Singing and Aural Skills 1","Music Theory"
"MUT 112 - Music Theory 2","Music Theory"
"MUT 113 - Sight Singing and Aural Skills 2","Music Theory"
"MUT 210 - Music Theory 3","Music Theory"
"MUT 211 - Sight Singing and Aural Skills 3","Music Theory"
"MUT 212 - Music Theory 4","Music Theory"
