"CourseName","Department"
"ART 481 - Advanced Printmaking I","Art"
"ART 491 - Advanced Sculpture I","Art"
"ART 492 - Advanced Sculpture II","Art"
"AED 221 - Introduction to Teaching Visual and Performing Arts","Art Education"
"AED 222 - Art Lab","Art Education"
"AED 230 - Teaching Through the Arts","Art Education"
"AED 321 - Methods of Teaching Visual and Performing Arts","Art Education"
"AED 324 - Student Teaching in Art Education","Art Education"
"AED 400 - Community Art Education Internship (CAED)","Art Education"
"AED 421 - Seminar in Visual and Performing Arts Education","Art Education"
"AED 428 - Independent Study in Art Education","Art Education"
"ARH 111 - Art History: Prehistoric through Medieval","Art History"
"ARH 112 - Art History: Renaissance to the Present","Art History"
"ARH 310 - Art History: Cross-Cultural Perspectives","Art History"
"ARH 311 - Gender Identity and Modern Art","Art History"
"ARH 312 - Art as Social Action","Art History"
"ARH 318 - History of Photography","Art History"
"ARH 321 - Classical Art","Art History"
"ARH 322 - Medieval Art","Art History"
"ARH 323 - Renaissance Art","Art History"
"ARH 326 - Nineteenth-Century European Art","Art History"
"ARH 327 - Modern Art","Art History"
"ARH 328 - Art after 1945","Art History"
"ARH 412 - Topics in Art History","Art History"
"ARH 418 - Independent Study in Art History","Art History"
"AHS 101 - Career Exploration in Liberal Arts","Arts, Humanities & Social Sciences"
"AST 100 - Astronomy","Astronomy"
"AST 103 - Exercises and Experiments in Astronomy","Astronomy"
"BIO 103 - Introduction to Marine Biology","Biology"
"BIO 104 - Marine Biology Laboratory","Biology"
"BIO 105 - Biological Principles I: Cellular Biology","Biology"
"BIO 106 - Laboratory Biology","Biology"
"BIO 107 - Biological Principles II: Evolution, Biodiversity, and Ecology","Biology"
"BIO 109 - Biological Principles III: Functional Biology","Biology"
"BIO 111 - Human Anatomy and Physiology I","Biology"
"BIO 112 - Practical Human Anatomy and Physiology I","Biology"
"BIO 113 - Human Anatomy and Physiology II","Biology"
"BIO 114 - Practical Human Anatomy and Physiology II","Biology"
"BIO 131 - Our Relationship with the Living World","Biology"
"BIO 201 - Genetics","Biology"
"BIO 203 - Ecology","Biology"
"BIO 217 - Evolution","Biology"
"BIO 221 - Human Anatomy and Physiology for Biology Majors I","Biology"
"BIO 223 - Human Anatomy and Physiology for Biology Majors II","Biology"
"BIO 281 - Microbiology for Health Sciences","Biology"
"BIO 282 - Microbiology Laboratory","Biology"
"BIO 291 - Ornithology","Biology"
"BIO 305 - Developmental Biology","Biology"
"BIO 306 - Developmental Biology Laboratory","Biology"
"BIO 309 - Comparative Vertebrate Anatomy","Biology"
"BIO 311 - Microbiology","Biology"
"BIO 321 - Neurobiology","Biology"
"BIO 322 - Neurobiology Laboratory","Biology"
"BIO 337 - Marine Ecology","Biology"
"BIO 345 - Pathophysiology","Biology"
"BIO 351 - Invertebrate Zoology","Biology"
"BIO 383 - Plant Ecology","Biology"
"BIO 401 - Animal Physiology","Biology"
"BIO 402 - Animal Physiology Laboratory","Biology"
"BIO 409 - Cell and Molecular Biology","Biology"
"BIO 410 - Cell and Molecular Biology Laboratory","Biology"
"BIO 413 - Applied Biostatistics","Biology"
"BIO 415 - Microbial Ecology","Biology"
"BIO 416 - Microbial Ecology Lab","Biology"
"BIO 421 - Biology Seminar","Biology"
"BIO 431 - Principles of Immunology","Biology"
"BIO 432 - Immunology Laboratory","Biology"
"BIO 441 - Problems in Biology (Independent Studies)","Biology"
"BIO 443 - Internship","Biology"
"BUS 200 - Introduction to Business","Business"
"BUS 210 - Managing Sport for Society","Business"
"BUS 241 - Applied Business Modeling","Business"
"BUS 260 - Marketing","Business"
"BUS 280 - Legal Environment of Business","Business"
"BUS 285 - Topics in Business","Business"
"BUS 295 - Internship in Business Administration","Business"
"BUS 299 - Special Topics in Business","Business"
"BUS 300 - Entrepreneurial Thinking","Business"
"BUS 301 - Business Analytics","Business"
"BUS 304 - AI, Business & Society","Business"
"BUS 309 - Esports Management","Business"
"BUS 311 - Sport Marketing","Business"
"BUS 312 - Sport Law","Business"
"BUS 314 - Sport Media & Communication","Business"
"BUS 315 - Revenue Generation in Sport","Business"
"BUS 316 - Sport Event & Facility Management","Business"
"BUS 319 - Sport Tourism","Business"
"BUS 322 - Sport Consumer Behavior","Business"
"BUS 335 - International Business","Business"
"BUS 339 - Business Ethics","Business"
"BUS 340 - Managing Organizational Behavior","Business"
"BUS 341 - New Product Development","Business"
"BUS 343 - Management Skills","Business"
"BUS 344 - Business Negotiation","Business"
"BUS 345 - Technology Management","Business"
"BUS 346 - Strategic Human Resource Management","Business"
"BUS 347 - Triple-Bottom-Line Business","Business"
"BUS 348 - Sustainable Business Practicum","Business"
"BUS 351 - Cross-Cultural Management","Business"
"BUS 356 - Digital Marketing","Business"
"BUS 357 - Retail Management","Business"
"BUS 360 - Marketing Strategy","Business"
"BUS 361 - International Marketing","Business"
"BUS 362 - Market Opportunity Analysis","Business"
"BUS 363 - Branding and Advertising","Business"
"BUS 364 - Professional Selling","Business"
"BUS 365 - Consumer Behavior","Business"
"BUS 369 - Marketing Research","Business"
"BUS 371 - Logistics Management","Business"
"BUS 372 - Supply Chain Management","Business"
"BUS 373 - Project Management","Business"
"BUS 374 - Purchasing and Procurement","Business"
"BUS 375 - Production/Operations Management","Business"
"BUS 376 - Advanced Topics in Strategy","Business"
"BUS 378 - Sport Management Practicum","Business"
"BUS 379 - Operational Excellence","Business"
"BUS 382 - International Business Law","Business"
"BUS 385 - Entrepreneurship and Venture Creation","Business"
"BUS 386 - Creative Strategies for Entrepreneurs","Business"
"BUS 387 - Design Thinking","Business"
"BUS 389 - Self-directed Innovation Project","Business"
"BUS 390 - Internship in Innovation, Creativity and Entrepreneurship","Business"
"BUS 391 - Internship in Sustainable Business","Business"
"BUS 392 - Internship in Marketing","Business"
"BUS 394 - Internship in International Business","Business"
"BUS 395 - Internship I","Business"
"BUS 396 - Internship II","Business"
"BUS 397 - Internship in Sport Management/Advance Field Experience","Business"
"BUS 399 - Special Topics in Business","Business"
"BUS 450 - Business Policy and Strategy","Business"
"BUS 485 - Managing the Growing Entrepreneurial Venture","Business"
"BUS 490 - Independent Study","Business"
"BAN 300 - Foundations of Data Management","Business Analytics"
"BAN 340 - Data Mining for Business Analysts","Business Analytics"
"BAN 350 - Data Visualization","Business Analytics"
"CHY 107 - Chemistry for Health Sciences","Chemistry"
"CHY 113 - Principles of Chemistry I","Chemistry"
"CHY 114 - Laboratory Techniques I","Chemistry"
"CHY 115 - Principles of Chemistry II","Chemistry"
"CHY 116 - Laboratory Techniques II","Chemistry"
"CHY 233 - Analytical Chemistry with Lab","Chemistry"
"CHY 251 - Organic Chemistry I","Chemistry"
"CHY 252 - Organic Chemistry Laboratory I","Chemistry"
"CHY 253 - Organic Chemistry II","Chemistry"
"CHY 254 - Organic Chemistry Laboratory II","Chemistry"
"CHY 371 - Quantum Chemistry","Chemistry"
"CHY 373 - Chemical Thermodynamics","Chemistry"
"CHY 374 - Chemical Thermodynamics Laboratory","Chemistry"
"CHY 377 - Spectroscopy","Chemistry"
"CHY 378 - Instrumental Analysis Laboratory","Chemistry"
"CHY 385 - Pickles to Pints: Fermentation Science","Chemistry"
"CHY 410 - Special Topics","Chemistry"
"CHY 421 - Inorganic Chemistry","Chemistry"
"CHY 461 - Biochemistry I","Chemistry"
"CHY 462 - Biochemistry Laboratory I","Chemistry"
"CHY 463 - Biochemistry II","Chemistry"
"CHY 470 - Chemistry in Perspective","Chemistry"
"CHI 101 - Beginning Chinese I","Chinese"
"CHI 102 - Beginning Chinese II","Chinese"
"CHI 201 - Intermediate Chinese I","Chinese"
"CHI 202 - Intermediate Chinese II","Chinese"
"CMS 102 - Introduction to Communication","Communication & Media Studies"
"CMS 103 - Introduction to Media Studies","Communication & Media Studies"
"CMS 150 - The Writing Process","Communication & Media Studies"
"CMS 190 - Nonverbal Communication","Communication & Media Studies"
"CMS 200 - Research Methods in Communication","Communication & Media Studies"
"CMS 201 - Introduction to Public Relations","Communication & Media Studies"
"CMS 202 - Writing for Popular Print Media","Communication & Media Studies"
"CMS 203 - Introduction to Video Production","Communication & Media Studies"
"CMS 204 - Introduction to Video Production Lab","Communication & Media Studies"
"CMS 205 - Topics in Media Writing I","Communication & Media Studies"
"CMS 210 - Topics in Media Criticism I","Communication & Media Studies"
"CMS 215 - Journalism Reporting and Writing","Communication & Media Studies"
"CMS 220 - Topics in Media Production I","Communication & Media Studies"
"CMS 222 - Digital Radio & Audio Production","Communication & Media Studies"
"CMS 223 - Communication Law","Communication & Media Studies"
"CMS 225 - Screenwriting","Communication & Media Studies"
"CMS 235 - Communicating Security","Communication & Media Studies"
"CMS 242 - Communication and Social Media","Communication & Media Studies"
"CMS 265 - Intrapersonal Communication","Communication & Media Studies"
"CMS 272 - Persuasion","Communication & Media Studies"
"CMS 274 - Writing for the Media","Communication & Media Studies"
"CMS 284 - Introduction to Cinema Studies","Communication & Media Studies"
"CMS 286 - History of International Cinema to 1945","Communication & Media Studies"
"CMS 288 - History of International Cinema Since 1945","Communication & Media Studies"
"CMS 290 - Intercultural Communication","Communication & Media Studies"
"CMS 294 - Visual Communication","Communication & Media Studies"
"CMS 298 - Topics in Communication I","Communication & Media Studies"
"CMS 300 - Topics in Media Writing II","Communication & Media Studies"
"CMS 301 - Public Relations: Cases and Campaigns","Communication & Media Studies"
"CMS 302 - Writing the Feature Story","Communication & Media Studies"
"CMS 303 - Media Effects","Communication & Media Studies"
"CMS 305 - Writing Opinion: Editorials and Columns","Communication & Media Studies"
"CMS 310 - Topics in Media Criticism II","Communication & Media Studies"
"CMS 315 - Broadcast Newswriting","Communication & Media Studies"
"CMS 320 - Topics in Media Production II","Communication & Media Studies"
"CMS 322 - Digital Audio Storytelling","Communication & Media Studies"
"CMS 323 - Understanding Technology","Communication & Media Studies"
"CMS 324 - Photojournalism","Communication & Media Studies"
"CMS 326 - Special Effects and Animation","Communication & Media Studies"
"CMS 330 - Interpersonal Communication","Communication & Media Studies"
"CMS 332 - Communication in the Family","Communication & Media Studies"
"CMS 335 - Public Relations: Special Topics","Communication & Media Studies"
"CMS 340 - Narrative Filmmaking","Communication & Media Studies"
"CMS 341 - Narrative Filmmaking Lab","Communication & Media Studies"
"CMS 345 - Small Group Communication","Communication & Media Studies"
"CMS 360 - Ethical Dilemmas in the Digital Age","Communication & Media Studies"
"CMS 374 - Media Criticism and Aesthetics","Communication & Media Studies"
"CMS 375 - Meaning and Communication","Communication & Media Studies"
"CMS 380 - Film Genres & Auteurs","Communication & Media Studies"
"CMS 384 - Topics in Cinema Studies","Communication & Media Studies"
"CMS 393 - Internships in Communication & Media Studies","Communication & Media Studies"
"CMS 398 - Topics in Communication II","Communication & Media Studies"
"CMS 400 - Senior Project Workshop","Communication & Media Studies"
"CMS 401 - Launching into Life After College","Communication & Media Studies"
"CMS 423 - The First Amendment","Communication & Media Studies"
"CMS 440 - Advanced Narrative Filmmaking","Communication & Media Studies"
"CMS 441 - Advanced Narrative Filmmaking Lab","Communication & Media Studies"
"CMS 450 - Service Learning Practicum","Communication & Media Studies"
"CMS 460 - Topics in Media Production III","Communication & Media Studies"
"CMS 480 - Gender Communication","Communication & Media Studies"
"CMS 485 - Senior Seminar in Media Studies","Communication & Media Studies"
"CMS 491 - Independent Study","Communication & Media Studies"
"CMS 493 - Advanced Internship and Professional Portfolio in Media Studies","Communication & Media Studies"
"CMS 495 - Communication Capstone","Communication & Media Studies"
"CMS 498 - Topics in Communication III","Communication & Media Studies"
"COS 160 - Structured Problem Solving","Computer Science"
"COS 161 - Algorithms in Programming","Computer Science"
"COS 184 - Python Programming","Computer Science"
"COS 199 - Topics in Computer Programming","Computer Science"
"COS 212 - Game Software Development","Computer Science"
"COS 226 - Data Structures and Algorithms","Computer Science"
"COS 250 - Computer Organization","Computer Science"
"COS 280 - Discrete Mathematics II","Computer Science"
"COS 285 - Data Structures","Computer Science"
"COS 322 - Foundations of Machine Learning","Computer Science"
"COS 350 - Systems Programming","Computer Science"
"COS 360 - Programming Languages","Computer Science"
"COS 374 - Numerical Analysis","Computer Science"
"COS 398 - Professional Ethics and Social Impact of Computing","Computer Science"
"COS 420 - Object-Oriented Design","Computer Science"
"COS 422 - Computing for Data Science","Computer Science"
"COS 427 - Natural Language Processing","Computer Science"
"COS 430 - Software Engineering","Computer Science"
"COS 432 - Deep Learning","Computer Science"
"COS 450 - Operating Systems","Computer Science"
"COS 457 - Database Systems","Computer Science"
"COS 460 - Computer Networks","Computer Science"
"COS 462 - Image Processing and Computer Vision","Computer Science"
"COS 470 - Topics in Computer Science","Computer Science"
"COS 472 - Artificial Intelligence and Data Mining","Computer Science"
"COS 475 - Advanced Machine Learning","Computer Science"
"COS 485 - Design and Analysis of Computing Algorithms","Computer Science"
"COS 497 - Independent Study in Computer Science","Computer Science"
"COS 498 - Computer Science Internship","Computer Science"
"COR 301 - Thoughtful Giving: Philanthropy and American Culture","Core Curriculum"
"COR 400 - Launching into Life After College","Core Curriculum"
"CRM 100 - Introduction to Criminology","Criminology"
"CRM 216 - White-Collar Crime","Criminology"
"CRM 217 - Crime in Maine","Criminology"
"CRM 220 - Research Methods in Criminology","Criminology"
"CRM 225 - Crimes Against the Environment","Criminology"
"CRM 227 - Policing Society","Criminology"
"CRM 230 - Introduction to the Criminal Justice System","Criminology"
"CRM 310 - Classical Theories of Social Order","Criminology"
"CRM 317 - Gender and Crime","Criminology"
"CRM 320 - Film and Social Order","Criminology"
"CRM 330 - Crime and Social Control","Criminology"
"CRM 340 - Criminal Law","Criminology"
"CRM 350 - Topics in Criminology","Criminology"
"CRM 365 - Race and Punishment","Criminology"
"CRM 370 - Prison and Police Abolition","Criminology"
"CRM 375 - Media, Crime, and Criminality","Criminology"
"CRM 390 - Independent Projects","Criminology"
"CRM 395 - Internship","Criminology"
"CRM 402 - Senior Seminar","Criminology"
"DAN 101 - Contemporary Dance I","Dance"
"DAN 102 - Ballet I","Dance"
"DAN 103 - Jazz Dance I","Dance"
"DAN 104 - Tap Dance I","Dance"
"DAN 105 - Musical Theatre Styles I","Dance"
"DAN 180 - Topics in Technique","Dance"
"DAN 190 - Rehearsal & Production","Dance"
"DAN 201 - Contemporary Dance II","Dance"
"DAN 202 - Ballet II","Dance"
"DAN 203 - Jazz Dance II","Dance"
